Model Name,Model Type,Model Version,Date,Daily Volume,Performance Metrics,Company Name
Model 13,Regression,"[1,3]",8/5/2021,"[4852, 1623]","[4.14, 4.62]",Nationwide
Model 13,Regression,"[1,3]",8/6/2021,"[1667, 3137]","[1.93, 2.44]",Nationwide
Model 13,Regression,"[1,3]",8/7/2021,"[2801, 1677]","[1.49, 0.39]",Nationwide
Model 13,Regression,"[1,3]",8/8/2021,"[1177, 2792]","[4.37, 3.85]",Nationwide
Model 13,Regression,"[1,3]",8/9/2021,"[2019, 4307]","[1.86, 0.36]",Nationwide
Model 13,Regression,"[1,3]",8/10/2021,"[2025, 1591]","[2.06, 4.97]",Nationwide
Model 13,Regression,"[1,3]",8/11/2021,"[4259, 2887]","[1.04, 3.65]",Nationwide
Model 13,Regression,"[1,3]",8/12/2021,"[1261, 1665]","[3.01, 4.72]",Nationwide
Model 13,Regression,"[1,3]",8/13/2021,"[3249, 1657]","[1.41, 2.08]",Nationwide
Model 13,Regression,"[1,3]",8/14/2021,"[2630, 1148]","[1.82, 0.73]",Nationwide
Model 13,Regression,"[1,3]",8/15/2021,"[3253, 1018]","[2.7, 4.2]",Nationwide
Model 13,Regression,"[1,3]",8/16/2021,"[4344, 2430]","[2.53, 2.06]",Nationwide
Model 13,Regression,"[1,3]",8/17/2021,"[2551, 4130]","[2.5, 0.53]",Nationwide
Model 13,Regression,"[1,3]",8/18/2021,"[4348, 1593]","[1.36, 2.99]",Nationwide
Model 13,Regression,"[1,3]",8/19/2021,"[2620, 4027]","[4.91, 4.52]",Nationwide
Model 13,Regression,"[1,3]",8/20/2021,"[4122, 3855]","[3.17, 1.82]",Nationwide
Model 13,Regression,"[1,3]",8/21/2021,"[3113, 4696]","[2.12, 4.61]",Nationwide
Model 13,Regression,"[1,3]",8/22/2021,"[4496, 4597]","[3.99, 0.94]",Nationwide
Model 13,Regression,"[1,3]",8/23/2021,"[2565, 1755]","[4.62, 4.57]",Nationwide
Model 13,Regression,"[1,3]",8/24/2021,"[2754, 3169]","[2.41, 3.29]",Nationwide
Model 13,Regression,"[1,3]",8/25/2021,"[3843, 1881]","[1.78, 0.12]",Nationwide
Model 13,Regression,"[1,3]",8/26/2021,"[1987, 1931]","[3.09, 3.77]",Nationwide
Model 13,Regression,"[1,3]",8/27/2021,"[2341, 3802]","[1.65, 1.16]",Nationwide
Model 13,Regression,"[1,3]",8/28/2021,"[3482, 2075]","[2.31, 0.7]",Nationwide
Model 13,Regression,"[1,3]",8/29/2021,"[2401, 3256]","[1.69, 0.17]",Nationwide
Model 13,Regression,"[1,3]",8/30/2021,"[1832, 1084]","[4.15, 3.73]",Nationwide
Model 13,Regression,"[1,3]",8/31/2021,"[3662, 1295]","[0.4, 0.4]",Nationwide
Model 13,Regression,"[1,3]",9/1/2021,"[1825, 2726]","[0.88, 1.96]",Nationwide
Model 13,Regression,"[1,3]",9/2/2021,"[3378, 2079]","[1.65, 0.53]",Nationwide
Model 13,Regression,"[1,3]",9/3/2021,"[4941, 3709]","[1.18, 1.43]",Nationwide
Model 13,Regression,"[1,3]",9/4/2021,"[4682, 1676]","[2.47, 2.61]",Nationwide
Model 13,Regression,"[1,3]",9/5/2021,"[2031, 4300]","[0.54, 2.2]",Nationwide
Model 13,Regression,"[1,3]",9/6/2021,"[4149, 2907]","[0.08, 4.49]",Nationwide
Model 13,Regression,"[1,3]",9/7/2021,"[3290, 1837]","[1.94, 4.53]",Nationwide
Model 13,Regression,"[1,3]",9/8/2021,"[1448, 4965]","[1.93, 0.9]",Nationwide
Model 13,Regression,"[1,3]",9/9/2021,"[4185, 1580]","[0.73, 2.31]",Nationwide
Model 13,Regression,"[1,3]",9/10/2021,"[4321, 3392]","[4.13, 4.08]",Nationwide
Model 13,Regression,"[1,3]",9/11/2021,"[2569, 3812]","[1.7, 3.23]",Nationwide
Model 13,Regression,"[1,3]",9/12/2021,"[2231, 2382]","[4.41, 3.62]",Nationwide
Model 13,Regression,"[1,3]",9/13/2021,"[3018, 4320]","[3.75, 2.92]",Nationwide
Model 13,Regression,"[1,3]",9/14/2021,"[1647, 3379]","[0.14, 0.08]",Nationwide
Model 13,Regression,"[1,3]",9/15/2021,"[3048, 1675]","[3.94, 1.58]",Nationwide
Model 13,Regression,"[1,3]",9/16/2021,"[2639, 4899]","[4.7, 2.16]",Nationwide
Model 13,Regression,"[1,3]",9/17/2021,"[2590, 4600]","[3.93, 1.56]",Nationwide
Model 13,Regression,"[1,3]",9/18/2021,"[2438, 1691]","[0.69, 1.54]",Nationwide
Model 13,Regression,"[1,3]",9/19/2021,"[2982, 2218]","[0.35, 1.11]",Nationwide
Model 13,Regression,"[1,3]",9/20/2021,"[4070, 4838]","[3.1, 4.17]",Nationwide
Model 13,Regression,"[1,3]",9/21/2021,"[1320, 2078]","[1.64, 3.23]",Nationwide
Model 13,Regression,"[1,3]",9/22/2021,"[4904, 2141]","[0.61, 4.64]",Nationwide
Model 14,Classification,[1],5/19/2023,[3617],"[[0.79, 0.76, 0.86]]",Nationwide
Model 14,Classification,[1],5/20/2023,[2875],"[[0.93, 0.83, 0.73]]",Nationwide
Model 14,Classification,[1],5/21/2023,[2508],"[[0.8, 0.82, 0.82]]",Nationwide
Model 14,Classification,[1],5/22/2023,[1816],"[[0.91, 0.82, 0.72]]",Nationwide
Model 14,Classification,[1],5/23/2023,[2401],"[[0.9, 0.86, 0.85]]",Nationwide
Model 14,Classification,[1],5/24/2023,[2885],"[[0.83, 0.94, 0.89]]",Nationwide
Model 14,Classification,[1],5/25/2023,[3575],"[[0.77, 0.72, 0.79]]",Nationwide
Model 14,Classification,[1],5/26/2023,[2874],"[[0.82, 0.82, 0.82]]",Nationwide
Model 14,Classification,[1],5/27/2023,[2661],"[[0.83, 0.83, 0.71]]",Nationwide
Model 14,Classification,[1],5/28/2023,[3725],"[[0.87, 0.7, 0.74]]",Nationwide
Model 14,Classification,[1],5/29/2023,[4661],"[[0.75, 0.89, 0.86]]",Nationwide
Model 14,Classification,[1],5/30/2023,[4789],"[[0.82, 0.94, 0.92]]",Nationwide
Model 14,Classification,[1],5/31/2023,[2155],"[[0.72, 0.71, 0.94]]",Nationwide
Model 14,Classification,[1],6/1/2023,[2110],"[[0.92, 0.83, 0.92]]",Nationwide
Model 14,Classification,[1],6/2/2023,[3754],"[[0.79, 0.76, 0.82]]",Nationwide
Model 14,Classification,[1],6/3/2023,[4142],"[[0.82, 0.74, 0.87]]",Nationwide
Model 14,Classification,[1],6/4/2023,[4985],"[[0.86, 0.71, 0.88]]",Nationwide
Model 14,Classification,[1],6/5/2023,[1352],"[[0.77, 0.73, 0.92]]",Nationwide
Model 14,Classification,[1],6/6/2023,[2499],"[[0.74, 0.77, 0.75]]",Nationwide
Model 14,Classification,[1],6/7/2023,[3336],"[[0.73, 0.86, 0.93]]",Nationwide
Model 14,Classification,[1],6/8/2023,[4158],"[[0.87, 0.94, 0.91]]",Nationwide
Model 14,Classification,[1],6/9/2023,[3322],"[[0.88, 0.93, 0.92]]",Nationwide
Model 14,Classification,[1],6/10/2023,[2541],"[[0.87, 0.89, 0.71]]",Nationwide
Model 14,Classification,[1],6/11/2023,[2179],"[[0.73, 0.87, 0.83]]",Nationwide
Model 14,Classification,[1],6/12/2023,[4490],"[[0.93, 0.74, 0.87]]",Nationwide
Model 14,Classification,[1],6/13/2023,[2128],"[[0.8, 0.87, 0.85]]",Nationwide
Model 14,Classification,[1],6/14/2023,[1965],"[[0.9, 0.9, 0.71]]",Nationwide
Model 14,Classification,[1],6/15/2023,[3789],"[[0.79, 0.72, 0.85]]",Nationwide
Model 14,Classification,[1],6/16/2023,[2479],"[[0.76, 0.74, 0.83]]",Nationwide
Model 14,Classification,[1],6/17/2023,[4307],"[[0.8, 0.76, 0.89]]",Nationwide
Model 14,Classification,[1],6/18/2023,[1034],"[[0.86, 0.85, 0.87]]",Nationwide
Model 14,Classification,[1],6/19/2023,[2692],"[[0.76, 0.87, 0.82]]",Nationwide
Model 14,Classification,[1],6/20/2023,[4334],"[[0.83, 0.83, 0.85]]",Nationwide
Model 14,Classification,[1],6/21/2023,[1467],"[[0.71, 0.83, 0.76]]",Nationwide
Model 14,Classification,[1],6/22/2023,[4672],"[[0.81, 0.77, 0.82]]",Nationwide
Model 14,Classification,[1],6/23/2023,[4551],"[[0.83, 0.81, 0.92]]",Nationwide
Model 14,Classification,[1],6/24/2023,[3522],"[[0.84, 0.92, 0.87]]",Nationwide
Model 14,Classification,[1],6/25/2023,[1430],"[[0.94, 0.76, 0.91]]",Nationwide
Model 14,Classification,[1],6/26/2023,[3332],"[[0.77, 0.79, 0.89]]",Nationwide
Model 14,Classification,[1],6/27/2023,[4449],"[[0.74, 0.85, 0.92]]",Nationwide
Model 14,Classification,[1],6/28/2023,[1070],"[[0.87, 0.72, 0.71]]",Nationwide
Model 14,Classification,[1],6/29/2023,[3998],"[[0.73, 0.82, 0.89]]",Nationwide
Model 14,Classification,[1],6/30/2023,[1354],"[[0.89, 0.88, 0.8]]",Nationwide
Model 14,Classification,[1],7/1/2023,[1163],"[[0.88, 0.9, 0.71]]",Nationwide
Model 14,Classification,[1],7/2/2023,[3481],"[[0.79, 0.87, 0.93]]",Nationwide
Model 14,Classification,[1],7/3/2023,[4412],"[[0.86, 0.78, 0.84]]",Nationwide
Model 14,Classification,[1],7/4/2023,[4798],"[[0.8, 0.82, 0.83]]",Nationwide
Model 14,Classification,[1],7/5/2023,[3244],"[[0.76, 0.79, 0.86]]",Nationwide
Model 14,Classification,[1],7/6/2023,[4633],"[[0.83, 0.79, 0.93]]",Nationwide
Model 14,Classification,[1],7/7/2023,[4574],"[[0.89, 0.79, 0.86]]",Nationwide
Model 14,Classification,[1],7/8/2023,[4475],"[[0.9, 0.81, 0.93]]",Nationwide
Model 14,Classification,[1],7/9/2023,[3241],"[[0.73, 0.71, 0.94]]",Nationwide
Model 14,Classification,[1],7/10/2023,[4289],"[[0.77, 0.88, 0.84]]",Nationwide
Model 14,Classification,[1],7/11/2023,[2862],"[[0.88, 0.86, 0.77]]",Nationwide
Model 14,Classification,[1],7/12/2023,[1657],"[[0.86, 0.92, 0.76]]",Nationwide
Model 14,Classification,[1],7/13/2023,[1702],"[[0.71, 0.7, 0.89]]",Nationwide
Model 14,Classification,[1],7/14/2023,[1875],"[[0.73, 0.78, 0.74]]",Nationwide
Model 14,Classification,[1],7/15/2023,[1124],"[[0.87, 0.78, 0.76]]",Nationwide
Model 14,Classification,[1],7/16/2023,[4755],"[[0.79, 0.87, 0.9]]",Nationwide
Model 14,Classification,[1],7/17/2023,[4453],"[[0.77, 0.77, 0.78]]",Nationwide
Model 14,Classification,[1],7/18/2023,[2204],"[[0.94, 0.93, 0.7]]",Nationwide
Model 14,Classification,[1],7/19/2023,[2714],"[[0.8, 0.77, 0.78]]",Nationwide
Model 14,Classification,[1],7/20/2023,[2076],"[[0.84, 0.87, 0.79]]",Nationwide
Model 14,Classification,[1],7/21/2023,[1161],"[[0.85, 0.93, 0.78]]",Nationwide
Model 14,Classification,[1],7/22/2023,[1062],"[[0.79, 0.87, 0.87]]",Nationwide
Model 14,Classification,[1],7/23/2023,[3568],"[[0.92, 0.94, 0.79]]",Nationwide
Model 14,Classification,[1],7/24/2023,[2178],"[[0.79, 0.9, 0.79]]",Nationwide
Model 14,Classification,[1],7/25/2023,[3405],"[[0.73, 0.77, 0.89]]",Nationwide
Model 14,Classification,[1],7/26/2023,[4394],"[[0.92, 0.86, 0.73]]",Nationwide
Model 14,Classification,[1],7/27/2023,[1783],"[[0.85, 0.89, 0.78]]",Nationwide
Model 14,Classification,[1],7/28/2023,[1152],"[[0.79, 0.86, 0.8]]",Nationwide
Model 14,Classification,[1],7/29/2023,[2581],"[[0.94, 0.78, 0.86]]",Nationwide
Model 14,Classification,[1],7/30/2023,[1193],"[[0.82, 0.86, 0.88]]",Nationwide
Model 14,Classification,[1],7/31/2023,[3912],"[[0.75, 0.73, 0.85]]",Nationwide
Model 14,Classification,[1],8/1/2023,[3689],"[[0.9, 0.9, 0.94]]",Nationwide
Model 14,Classification,[1],8/2/2023,[2464],"[[0.91, 0.76, 0.77]]",Nationwide
Model 14,Classification,[1],8/3/2023,[2560],"[[0.75, 0.82, 0.9]]",Nationwide
Model 14,Classification,[1],8/4/2023,[4829],"[[0.87, 0.8, 0.83]]",Nationwide
Model 14,Classification,[1],8/5/2023,[1619],"[[0.78, 0.87, 0.74]]",Nationwide
Model 14,Classification,[1],8/6/2023,[3652],"[[0.8, 0.72, 0.9]]",Nationwide
Model 14,Classification,[1],8/7/2023,[4027],"[[0.91, 0.81, 0.85]]",Nationwide
Model 14,Classification,[1],8/8/2023,[4050],"[[0.88, 0.72, 0.8]]",Nationwide
Model 14,Classification,[1],8/9/2023,[2547],"[[0.84, 0.77, 0.77]]",Nationwide
Model 14,Classification,[1],8/10/2023,[1240],"[[0.92, 0.73, 0.72]]",Nationwide
Model 14,Classification,[1],8/11/2023,[4580],"[[0.83, 0.9, 0.76]]",Nationwide
Model 14,Classification,[1],8/12/2023,[3990],"[[0.82, 0.93, 0.72]]",Nationwide
Model 14,Classification,[1],8/13/2023,[1228],"[[0.77, 0.93, 0.72]]",Nationwide
Model 14,Classification,[1],8/14/2023,[3098],"[[0.84, 0.82, 0.85]]",Nationwide
Model 15,Multi-Class,[1],11/15/2022,[4755],"[[0.79, 0.85, 0.81]]",Nationwide
Model 15,Multi-Class,[1],11/16/2022,[2068],"[[0.94, 0.84, 0.74]]",Nationwide
Model 15,Multi-Class,[1],11/17/2022,[1538],"[[0.84, 0.93, 0.87]]",Nationwide
Model 15,Multi-Class,[1],11/18/2022,[1939],"[[0.89, 0.85, 0.73]]",Nationwide
Model 15,Multi-Class,[1],11/19/2022,[2915],"[[0.89, 0.83, 0.81]]",Nationwide
Model 15,Multi-Class,[1],11/20/2022,[2702],"[[0.93, 0.89, 0.87]]",Nationwide
Model 15,Multi-Class,[1],11/21/2022,[2116],"[[0.77, 0.78, 0.84]]",Nationwide
Model 15,Multi-Class,[1],11/22/2022,[3014],"[[0.88, 0.74, 0.85]]",Nationwide
Model 15,Multi-Class,[1],11/23/2022,[4708],"[[0.9, 0.74, 0.74]]",Nationwide
Model 15,Multi-Class,[1],11/24/2022,[3673],"[[0.84, 0.83, 0.71]]",Nationwide
Model 15,Multi-Class,[1],11/25/2022,[3332],"[[0.87, 0.84, 0.77]]",Nationwide
Model 15,Multi-Class,[1],11/26/2022,[3747],"[[0.92, 0.77, 0.89]]",Nationwide
Model 15,Multi-Class,[1],11/27/2022,[1961],"[[0.93, 0.73, 0.89]]",Nationwide
Model 15,Multi-Class,[1],11/28/2022,[1660],"[[0.79, 0.74, 0.84]]",Nationwide
Model 15,Multi-Class,[1],11/29/2022,[2170],"[[0.94, 0.72, 0.85]]",Nationwide
Model 15,Multi-Class,[1],11/30/2022,[3771],"[[0.81, 0.87, 0.79]]",Nationwide
Model 15,Multi-Class,[1],12/1/2022,[1401],"[[0.84, 0.93, 0.77]]",Nationwide
Model 15,Multi-Class,[1],12/2/2022,[3311],"[[0.84, 0.8, 0.93]]",Nationwide
Model 15,Multi-Class,[1],12/3/2022,[4202],"[[0.83, 0.93, 0.78]]",Nationwide
Model 15,Multi-Class,[1],12/4/2022,[3994],"[[0.8, 0.93, 0.73]]",Nationwide
Model 15,Multi-Class,[1],12/5/2022,[2416],"[[0.92, 0.9, 0.9]]",Nationwide
Model 15,Multi-Class,[1],12/6/2022,[4112],"[[0.81, 0.76, 0.89]]",Nationwide
Model 15,Multi-Class,[1],12/7/2022,[3197],"[[0.92, 0.75, 0.75]]",Nationwide
Model 15,Multi-Class,[1],12/8/2022,[4847],"[[0.76, 0.77, 0.75]]",Nationwide
Model 15,Multi-Class,[1],12/9/2022,[2496],"[[0.74, 0.76, 0.85]]",Nationwide
Model 15,Multi-Class,[1],12/10/2022,[2601],"[[0.86, 0.92, 0.84]]",Nationwide
Model 15,Multi-Class,[1],12/11/2022,[1613],"[[0.79, 0.89, 0.79]]",Nationwide
Model 15,Multi-Class,[1],12/12/2022,[4277],"[[0.92, 0.7, 0.91]]",Nationwide
Model 15,Multi-Class,[1],12/13/2022,[1783],"[[0.8, 0.94, 0.87]]",Nationwide
Model 16,Multi-Class,[1],11/27/2023,[3651],"[[0.8, 0.93, 0.78]]",Nationwide
Model 16,Multi-Class,[1],11/28/2023,[4745],"[[0.84, 0.76, 0.94]]",Nationwide
Model 16,Multi-Class,[1],11/29/2023,[3923],"[[0.76, 0.7, 0.76]]",Nationwide
Model 16,Multi-Class,[1],11/30/2023,[1037],"[[0.73, 0.76, 0.71]]",Nationwide
Model 16,Multi-Class,[1],12/1/2023,[1250],"[[0.89, 0.81, 0.89]]",Nationwide
Model 16,Multi-Class,[1],12/2/2023,[2995],"[[0.85, 0.93, 0.78]]",Nationwide
Model 16,Multi-Class,[1],12/3/2023,[3837],"[[0.71, 0.76, 0.73]]",Nationwide
Model 16,Multi-Class,[1],12/4/2023,[2667],"[[0.95, 0.87, 0.83]]",Nationwide
Model 16,Multi-Class,[1],12/5/2023,[3319],"[[0.78, 0.78, 0.76]]",Nationwide
Model 16,Multi-Class,[1],12/6/2023,[1585],"[[0.92, 0.8, 0.75]]",Nationwide
Model 16,Multi-Class,[1],12/7/2023,[3394],"[[0.86, 0.75, 0.9]]",Nationwide
Model 16,Multi-Class,[1],12/8/2023,[4078],"[[0.8, 0.78, 0.91]]",Nationwide
Model 16,Multi-Class,[1],12/9/2023,[3889],"[[0.84, 0.86, 0.92]]",Nationwide
Model 16,Multi-Class,[1],12/10/2023,[1070],"[[0.77, 0.82, 0.93]]",Nationwide
Model 16,Multi-Class,[1],12/11/2023,[4978],"[[0.76, 0.86, 0.74]]",Nationwide
Model 16,Multi-Class,[1],12/12/2023,[4893],"[[0.79, 0.72, 0.84]]",Nationwide
Model 16,Multi-Class,[1],12/13/2023,[1980],"[[0.81, 0.83, 0.73]]",Nationwide
Model 16,Multi-Class,[1],12/14/2023,[3172],"[[0.82, 0.79, 0.86]]",Nationwide
Model 16,Multi-Class,[1],12/15/2023,[2103],"[[0.81, 0.85, 0.82]]",Nationwide
Model 16,Multi-Class,[1],12/16/2023,[4396],"[[0.72, 0.75, 0.83]]",Nationwide
Model 16,Multi-Class,[1],12/17/2023,[1871],"[[0.8, 0.92, 0.92]]",Nationwide
Model 16,Multi-Class,[1],12/18/2023,[1485],"[[0.9, 0.85, 0.9]]",Nationwide
Model 16,Multi-Class,[1],12/19/2023,[4781],"[[0.92, 0.74, 0.89]]",Nationwide
Model 16,Multi-Class,[1],12/20/2023,[4106],"[[0.89, 0.87, 0.81]]",Nationwide
Model 16,Multi-Class,[1],12/21/2023,[1766],"[[0.82, 0.85, 0.89]]",Nationwide
Model 16,Multi-Class,[1],12/22/2023,[1847],"[[0.78, 0.86, 0.89]]",Nationwide
Model 16,Multi-Class,[1],12/23/2023,[3927],"[[0.87, 0.7, 0.71]]",Nationwide
Model 16,Multi-Class,[1],12/24/2023,[1931],"[[0.85, 0.83, 0.82]]",Nationwide
Model 16,Multi-Class,[1],12/25/2023,[4748],"[[0.92, 0.73, 0.85]]",Nationwide
Model 16,Multi-Class,[1],12/26/2023,[4209],"[[0.9, 0.87, 0.81]]",Nationwide
Model 16,Multi-Class,[1],12/27/2023,[2183],"[[0.73, 0.7, 0.87]]",Nationwide
Model 16,Multi-Class,[1],12/28/2023,[2467],"[[0.75, 0.95, 0.76]]",Nationwide
Model 16,Multi-Class,[1],12/29/2023,[1298],"[[0.83, 0.76, 0.77]]",Nationwide
Model 16,Multi-Class,[1],12/30/2023,[1184],"[[0.77, 0.8, 0.75]]",Nationwide
Model 16,Multi-Class,[1],12/31/2023,[1277],"[[0.74, 0.86, 0.71]]",Nationwide
Model 16,Multi-Class,[1],1/1/2024,[1429],"[[0.73, 0.93, 0.72]]",Nationwide
Model 16,Multi-Class,[1],1/2/2024,[4009],"[[0.86, 0.89, 0.9]]",Nationwide
Model 16,Multi-Class,[1],1/3/2024,[3662],"[[0.86, 0.88, 0.92]]",Nationwide
Model 16,Multi-Class,[1],1/4/2024,[4615],"[[0.81, 0.76, 0.92]]",Nationwide
Model 16,Multi-Class,[1],1/5/2024,[4622],"[[0.73, 0.91, 0.88]]",Nationwide
Model 16,Multi-Class,[1],1/6/2024,[4918],"[[0.77, 0.78, 0.93]]",Nationwide
Model 16,Multi-Class,[1],1/7/2024,[3207],"[[0.75, 0.87, 0.71]]",Nationwide
Model 16,Multi-Class,[1],1/8/2024,[4873],"[[0.9, 0.83, 0.75]]",Nationwide
Model 16,Multi-Class,[1],1/9/2024,[3760],"[[0.87, 0.8, 0.8]]",Nationwide
Model 16,Multi-Class,[1],1/10/2024,[3757],"[[0.89, 0.92, 0.95]]",Nationwide
Model 16,Multi-Class,[1],1/11/2024,[1585],"[[0.89, 0.87, 0.84]]",Nationwide
Model 16,Multi-Class,[1],1/12/2024,[2341],"[[0.76, 0.83, 0.86]]",Nationwide
Model 16,Multi-Class,[1],1/13/2024,[3698],"[[0.87, 0.9, 0.76]]",Nationwide
Model 16,Multi-Class,[1],1/14/2024,[2613],"[[0.82, 0.89, 0.83]]",Nationwide
Model 16,Multi-Class,[1],1/15/2024,[2882],"[[0.76, 0.76, 0.75]]",Nationwide
Model 16,Multi-Class,[1],1/16/2024,[2655],"[[0.79, 0.81, 0.85]]",Nationwide
Model 16,Multi-Class,[1],1/17/2024,[1973],"[[0.8, 0.87, 0.8]]",Nationwide
Model 16,Multi-Class,[1],1/18/2024,[4902],"[[0.78, 0.81, 0.79]]",Nationwide
Model 16,Multi-Class,[1],1/19/2024,[4101],"[[0.74, 0.73, 0.76]]",Nationwide
Model 16,Multi-Class,[1],1/20/2024,[2186],"[[0.9, 0.92, 0.87]]",Nationwide
Model 16,Multi-Class,[1],1/21/2024,[1591],"[[0.75, 0.84, 0.79]]",Nationwide
Model 16,Multi-Class,[1],1/22/2024,[4751],"[[0.89, 0.7, 0.8]]",Nationwide
Model 16,Multi-Class,[1],1/23/2024,[2606],"[[0.72, 0.88, 0.87]]",Nationwide
Model 16,Multi-Class,[1],1/24/2024,[2313],"[[0.94, 0.75, 0.82]]",Nationwide
Model 16,Multi-Class,[1],1/25/2024,[1929],"[[0.91, 0.73, 0.81]]",Nationwide
Model 16,Multi-Class,[1],1/26/2024,[4422],"[[0.85, 0.87, 0.95]]",Nationwide
Model 16,Multi-Class,[1],1/27/2024,[2440],"[[0.72, 0.95, 0.76]]",Nationwide
Model 16,Multi-Class,[1],1/28/2024,[3636],"[[0.81, 0.77, 0.86]]",Nationwide
Model 16,Multi-Class,[1],1/29/2024,[1751],"[[0.82, 0.92, 0.81]]",Nationwide
Model 16,Multi-Class,[1],1/30/2024,[4150],"[[0.78, 0.74, 0.72]]",Nationwide
Model 16,Multi-Class,[1],1/31/2024,[4992],"[[0.94, 0.7, 0.71]]",Nationwide
Model 16,Multi-Class,[1],2/1/2024,[2151],"[[0.76, 0.74, 0.81]]",Nationwide
Model 16,Multi-Class,[1],2/2/2024,[2640],"[[0.79, 0.7, 0.91]]",Nationwide
Model 16,Multi-Class,[1],2/3/2024,[3697],"[[0.8, 0.94, 0.87]]",Nationwide
Model 17,Multi-Class,[2],6/26/2022,[3560],"[[0.93, 0.82, 0.73]]",Nationwide
Model 17,Multi-Class,[2],6/27/2022,[4775],"[[0.76, 0.76, 0.7]]",Nationwide
Model 17,Multi-Class,[2],6/28/2022,[2196],"[[0.73, 0.74, 0.76]]",Nationwide
Model 17,Multi-Class,[2],6/29/2022,[1252],"[[0.75, 0.89, 0.88]]",Nationwide
Model 17,Multi-Class,[2],6/30/2022,[4470],"[[0.79, 0.77, 0.78]]",Nationwide
Model 17,Multi-Class,[2],7/1/2022,[1790],"[[0.8, 0.88, 0.73]]",Nationwide
Model 17,Multi-Class,[2],7/2/2022,[2495],"[[0.73, 0.75, 0.71]]",Nationwide
Model 17,Multi-Class,[2],7/3/2022,[3506],"[[0.87, 0.73, 0.83]]",Nationwide
Model 17,Multi-Class,[2],7/4/2022,[3855],"[[0.89, 0.85, 0.77]]",Nationwide
Model 17,Multi-Class,[2],7/5/2022,[1379],"[[0.73, 0.74, 0.8]]",Nationwide
Model 17,Multi-Class,[2],7/6/2022,[2943],"[[0.75, 0.73, 0.82]]",Nationwide
Model 17,Multi-Class,[2],7/7/2022,[1212],"[[0.71, 0.73, 0.82]]",Nationwide
Model 17,Multi-Class,[2],7/8/2022,[4466],"[[0.87, 0.72, 0.84]]",Nationwide
Model 17,Multi-Class,[2],7/9/2022,[2046],"[[0.83, 0.7, 0.78]]",Nationwide
Model 17,Multi-Class,[2],7/10/2022,[3750],"[[0.72, 0.73, 0.77]]",Nationwide
Model 17,Multi-Class,[2],7/11/2022,[4830],"[[0.8, 0.87, 0.85]]",Nationwide
Model 17,Multi-Class,[2],7/12/2022,[2944],"[[0.89, 0.76, 0.79]]",Nationwide
Model 17,Multi-Class,[2],7/13/2022,[4550],"[[0.77, 0.78, 0.91]]",Nationwide
Model 17,Multi-Class,[2],7/14/2022,[4316],"[[0.78, 0.91, 0.85]]",Nationwide
Model 17,Multi-Class,[2],7/15/2022,[3108],"[[0.83, 0.92, 0.74]]",Nationwide
Model 17,Multi-Class,[2],7/16/2022,[2014],"[[0.79, 0.7, 0.89]]",Nationwide
Model 17,Multi-Class,[2],7/17/2022,[4819],"[[0.86, 0.94, 0.8]]",Nationwide
Model 17,Multi-Class,[2],7/18/2022,[2062],"[[0.87, 0.89, 0.84]]",Nationwide
Model 17,Multi-Class,[2],7/19/2022,[4334],"[[0.76, 0.84, 0.74]]",Nationwide
Model 17,Multi-Class,[2],7/20/2022,[4823],"[[0.74, 0.88, 0.95]]",Nationwide
Model 17,Multi-Class,[2],7/21/2022,[1455],"[[0.92, 0.8, 0.76]]",Nationwide
Model 17,Multi-Class,[2],7/22/2022,[1545],"[[0.7, 0.92, 0.79]]",Nationwide
Model 17,Multi-Class,[2],7/23/2022,[3989],"[[0.94, 0.85, 0.72]]",Nationwide
Model 17,Multi-Class,[2],7/24/2022,[4780],"[[0.79, 0.85, 0.81]]",Nationwide
Model 17,Multi-Class,[2],7/25/2022,[4866],"[[0.94, 0.84, 0.95]]",Nationwide
Model 17,Multi-Class,[2],7/26/2022,[2455],"[[0.87, 0.91, 0.75]]",Nationwide
Model 17,Multi-Class,[2],7/27/2022,[4906],"[[0.75, 0.86, 0.94]]",Nationwide
Model 17,Multi-Class,[2],7/28/2022,[1840],"[[0.81, 0.89, 0.71]]",Nationwide
Model 17,Multi-Class,[2],7/29/2022,[4658],"[[0.93, 0.8, 0.82]]",Nationwide
Model 17,Multi-Class,[2],7/30/2022,[3336],"[[0.86, 0.88, 0.85]]",Nationwide
Model 17,Multi-Class,[2],7/31/2022,[4587],"[[0.81, 0.87, 0.79]]",Nationwide
Model 17,Multi-Class,[2],8/1/2022,[4837],"[[0.86, 0.93, 0.93]]",Nationwide
Model 17,Multi-Class,[2],8/2/2022,[2501],"[[0.73, 0.71, 0.74]]",Nationwide
Model 17,Multi-Class,[2],8/3/2022,[4574],"[[0.86, 0.9, 0.84]]",Nationwide
Model 17,Multi-Class,[2],8/4/2022,[2789],"[[0.71, 0.72, 0.71]]",Nationwide
Model 17,Multi-Class,[2],8/5/2022,[1547],"[[0.87, 0.71, 0.89]]",Nationwide
Model 17,Multi-Class,[2],8/6/2022,[1633],"[[0.79, 0.82, 0.84]]",Nationwide
Model 17,Multi-Class,[2],8/7/2022,[3187],"[[0.73, 0.81, 0.88]]",Nationwide
Model 17,Multi-Class,[2],8/8/2022,[4355],"[[0.8, 0.89, 0.76]]",Nationwide
